Sample,Scheme,Taxa A1,Taxa A2,Taxa A3,Taxa A4,Taxa A5,Taxa B1,Taxa B2,Taxa B3
SA PT 1.5,Stable,ND,,ND,,ND,,,ND
SA-1 CT,Failure,0.0121,,ND,,0.0001,,,0.002
SA-2,Stable,0.0003,,ND,,ND,,,ND
SA-2 CT,Failure,0.0284,,ND,,ND,,,ND
SA-3,Stable,0.0002,,ND,,ND,,,ND
SA-4,Stable,ND,,ND,,ND,,,ND
SA-5 CT,Stable,ND,,ND,,ND,,,0.0001
WA-1A,Stable,ND,,ND,,ND,,,ND
WA-1B,Stable,0.0008,,ND,,ND,,,ND
WA-2,Stable,0.0002,,ND,,ND,,,ND
WA-3A,Stable,0.0001,,0.0001,,ND,,,ND
WA-3B,Stable,ND,,ND,,ND,,,0.0003
WA-4 CT,Failure,0.0063,,ND,,ND,,,0.0064
A12_09_19_1,Stable,0.0023,0.0005,ND,0.0013,0.0013,0.012,0.1005,0.2293
A12_10_01_1,Stable,0.001,0.0013,ND,0.0008,0.0028,0.0133,0.1293,0.383
A12_10_15_1,Stable,ND,0.0013,ND,0.0008,0.0045,0.0158,0.141,0.4383
A12_10_23_1,Stable,0.0003,0.0005,ND,0.0005,0.0063,0.023,0.1005,0.617
A12_11_15_1,Stable,ND,ND,0.0008,0.0038,0.0075,0.0283,0.1433,0.3705
B12_09_19_1,Stable,0.0003,0.0013,ND,0.0025,0.0065,0.012,0.1048,0.275
B12_10_01_1,Stable,0.0013,0.0013,ND,0.0005,0.0108,0.014,0.1013,0.4135
B12_10_15_1,Stable,ND,0.0023,ND,0.001,0.0043,0.0125,0.121,0.39
B12_10_23_1,Stable,0.0003,ND,ND,0.001,0.0038,0.0045,0.0503,0.7813
B12_11_08_1,Stable,ND,ND,0.0273,0.0133,ND,0.0018,ND,0.162
B12_11_15_1,Stable,0.0003,ND,0.0033,0.0078,0.0125,0.0298,0.0813,0.2498
S1_PBR_001,Failure,0.0278,0.0037,ND,0.0065,ND,ND,ND,0.0004
S1_PBR_002,Failure,0.0005,0.0015,ND,0.0006,ND,0.0003,ND,0.0005
S1_PBR_003,Failure,0.0846,0.0025,ND,0.0034,0.0033,0.0132,0.0013,0.0036
S1_PBR_004,Failure,0.0038,0.0828,ND,0.0009,0.001,0.0006,0.0008,0.1962
S1_PBR_005,Failure,0.0004,0.0098,ND,0.0148,ND,0.0006,0.0225,0.0214
S1_PBR_006,Failure,0.0235,0.2109,ND,0.0254,0.0207,0.003,0.0002,0.1409
S1_PBR_007,Failure,0.0123,0.0295,ND,0.0104,0.0025,0.0062,0.0018,0.0405
S1_PBR_008,Failure,0.0005,0.0967,ND,0.0001,0.0015,ND,ND,0.2239
S1_PBR_009,Failure,ND,0.0227,ND,0.0029,0.0215,ND,ND,0.0036
S1_PBR_010,Failure,0.0003,0.1814,ND,0.0039,0.0101,0.0002,0.0001,0.0595
S1_PBR_011,Failure,0.0001,0.0807,ND,0.0005,0.0003,0.0006,ND,0.0061
S1_PBR_012,Failure,0.0312,0.0038,ND,0.0094,0.0019,0.0035,0.0003,0.0015
S1_PBR_013,Failure,0.0022,0.2114,ND,0.0017,0.0061,0.001,0.0003,0.0808
S1_PBR_014,Failure,0.0035,0.1072,ND,0.0597,0.0334,0.0013,0.0003,0.0613
S1_PBR_015,Failure,0.3359,0.0079,ND,0.05,0.0024,0.004,0.0505,0.0031
S1_PBR_016,Failure,0.0067,0.0321,ND,0.0009,0.002,0.0007,0.001,0.0024
S1_PBR_017,Failure,0.0042,0.0342,ND,0.1165,0.0076,0.006,0.0012,0.0018
S1_PBR_018,Failure,0.0005,0.0364,ND,ND,ND,ND,0.0001,0.0089
S1_PBR_019,Failure,0.0042,0.2137,ND,0.0013,0.0105,0.0003,ND,0.0738
S1_PBR_020,Failure,0.0001,0.1213,ND,0.0002,0.006,0.0001,0.0002,0.0438
S1_PBR_021,Failure,0.0004,0.0633,ND,0.0012,0.0072,0.0005,0.0007,0.0039
S1_PBR_022,Failure,0.0025,0.049,ND,0.0083,0.0018,0.0004,0.0025,0.0214
S1_PBR_023,Failure,0.0014,0.0071,ND,0.017,0.0003,0.0036,0.0062,0.0525
S1_PBR_024,Failure,0.0052,0.0575,ND,0.002,0.0028,0.002,0.0005,0.0094
S1_PBR_025,Failure,0.0007,0.0315,ND,0.0061,0.0004,0.0015,0.0045,0.0053
S1_PBR_026,Failure,0.0006,ND,ND,0.0021,0.0001,0.0003,0.0058,ND
S1_PBR_027,Failure,0.0012,0.0239,ND,0.0016,0.0049,0.0006,0.0001,0.0063
S1_PBR_028,Failure,0.0004,0.0207,ND,0.0075,0.0045,0.0002,0.0009,0.0096
S1_PBR_029,Failure,0.0004,0.0398,ND,0.0011,0.0038,0.0027,0.0015,0.0087
S1_PBR_030,Failure,0.0014,0.1136,ND,0.0047,0.0164,0.0007,0.0003,0.0056
S1_PBR_031,Failure,0.0111,0.0103,ND,0.0342,0.0113,0.1092,ND,0.0003
S1_PBR_032,Failure,0.0005,0.0933,ND,0.0006,0.0093,0.0005,0.0002,0.0077
S1_PBR_033,Failure,0.0049,0.0004,ND,0.0135,0.0005,0.0028,0.0122,ND
S1_PBR_034,Failure,0.0008,0.0595,ND,0.0005,0.0023,0.0003,0.0007,0.002
S1_PBR_035,Failure,0.0002,0.0265,ND,0.0001,0.0009,0.0014,0.0013,0.0033
S1_PBR_036,Failure,0.0117,0.0984,ND,0.0034,0.0034,0.0005,0.0004,0.0033
S1_PBR_037,Failure,0.0016,0.0925,ND,0.0007,0.0024,0.0007,0.0004,0.0035
S1_PBR_038,Failure,0.0004,0.7538,ND,0.0076,0.001,0.0002,0.0003,0.0008
S1_PBR_039,Failure,0.0018,0.0025,ND,0.004,0.0007,0.0003,0.0013,0.0003
S1_PBR_040,Failure,0.0006,0.0957,ND,0.0012,0.0061,0.0002,0.0005,0.0025
S1_PBR_041,Failure,0.0002,0.264,ND,0.0035,0.0163,0.0007,0.0062,0.0014
S1_PBR_042,Failure,0.0001,0.0084,ND,0.0053,0.0009,0.0088,0.0155,0.0003
S1_PBR_044,Failure,0.0004,0.1019,ND,0.0003,0.0036,0.0002,0.0001,0.0045
S1_PBR_045,Failure,0.0005,0.0746,ND,0.0004,0.005,0.0007,0.0012,0.0045
S1_PBR_046,Failure,0.0002,0.0715,ND,0.0003,0.0046,ND,0.0001,0.003
S3_IBR_093,Stable,ND,0.0001,ND,0.0094,ND,ND,0.0021,0.0005
S3_IBR_094,Stable,0.0001,ND,ND,0.0003,ND,ND,ND,ND
S3_IBR_095,Stable,0.0002,0.0003,ND,0.0003,0.0018,0.004,0.0005,0.1892
S3_IBR_096,Stable,0.0001,0.0003,ND,0.0006,ND,0.0004,0.0005,0.0006
S3_IBR_097,Stable,0.0008,0.0006,ND,0.0024,0.0001,0.0005,0.0023,0.0061
S3_IBR_098,Stable,0.0005,0.0007,ND,0.0025,0.0015,0.0026,0.0014,0.0482
S3_IBR_099,Stable,0.0008,0.0008,ND,0.0038,0.0014,0.0066,0.0027,0.001
S3_IBR_100,Stable,0.0005,0.0003,ND,0.0014,ND,0.0009,0.0008,0.0005
S3_IBR_101,Stable,0.0001,0.0002,ND,0.0004,0.0006,0.0072,0.0028,0.0021
S3_IBR_102,Stable,ND,0.0001,ND,0.0009,0.0001,0.004,0.0073,0.0021
S3_IBR_103,Stable,0.0008,0.0004,ND,0.0123,ND,0.0073,0.012,0.0143
S3_IBR_104,Stable,0.0182,0.1045,ND,0.0247,0.0013,0.0061,ND,0.0004
S3_IBR_105,Stable,0.0019,0.0023,ND,0.0011,0.0057,0.0042,ND,0.0105
S3_IBR_106,Stable,0.0002,0.0006,ND,0.0009,0.0033,0.0043,0.0015,0.004
S3_IBR_107,Stable,0.0008,0.0011,ND,0.0048,ND,0.0039,0.0445,0.1045
S3_IBR_108,Stable,0.0025,0.0045,ND,0.0097,0.0006,0.001,0.0048,0.0531
S3_IBR_109,Stable,0.0053,0.0023,ND,0.0075,0.0016,0.0346,0.0002,0.0026
S3_IBR_110,Stable,ND,ND,ND,0.0001,0.0006,ND,ND,0.0124
S3_IBR_111,Stable,0.0006,ND,ND,ND,0.0001,0.0004,ND,0.0775
S3_IBR_112,Stable,0.0001,ND,ND,0.0018,ND,0.0025,ND,0.0046
S3_IBR_113,Stable,0.0531,0.02,ND,0.0263,0.0071,0.0011,ND,0.0228
S3_IBR_114,Stable,0.0008,0.0014,ND,0.0314,0.0023,0.0041,0.0055,0.0633
S3_IBR_115,Stable,0.0002,0.0009,ND,0.0306,0.0026,0.0045,0.0075,0.0746
S3_IBR_116,Stable,0.0015,0.0006,ND,0.0065,ND,0.0016,0.003,0.0036
S3_IBR_117,Stable,0.0001,0.0004,ND,0.016,0.0045,0.001,0.0049,0.0095
S3_IBR_118,Stable,ND,0.0007,ND,ND,ND,ND,ND,ND
S3_IBR_119,Stable,0.0001,0.0002,ND,ND,ND,ND,ND,0.0114
S3_IBR_120,Stable,0.0001,0.0012,ND,0.004,0.0003,ND,ND,0.0047
S3_IBR_121,Stable,0.0005,0.0037,ND,0.0006,0.0001,ND,ND,0.0027
S3_IBR_122,Stable,ND,0.0003,ND,ND,0.0001,0.0002,0.0001,0.0025
S3_IBR_123,Stable,ND,0.0185,ND,0.003,0.0004,0.0007,0.0004,0.0034
S3_IBR_124,Stable,ND,0.0001,ND,ND,ND,ND,ND,0.001
S3_IBR_125,Stable,ND,0.0001,ND,0.0008,0.0006,0.0008,0.0015,0.0011
S3_IBR_126,Stable,0.0001,0.0004,ND,ND,ND,0.0002,0.0001,0.0005
S3_IBR_127,Stable,0.0004,0.0069,ND,ND,ND,0.0022,0.002,0.0045
S3_IBR_128,Stable,0.0008,0.0025,ND,0.0002,0.0001,0.0007,ND,0.0019
S3_IBR_129,Stable,ND,0.0001,ND,0.0007,ND,0.0001,ND,0.0015
S3_IBR_130,Stable,0.0001,0.0006,ND,0.0023,0.0001,0.017,0.0024,0.0026
S3_IBR_131,Stable,0.0005,0.0005,ND,0.0014,0.0001,0.0001,0.0006,0.0227
S3_IBR_132,Stable,ND,0.001,ND,ND,0.0002,ND,ND,0.0017
S3_IBR_133,Stable,0.0001,0.0008,ND,0.0049,ND,0.0017,0.0004,0.0013
S3_IBR_134,Stable,ND,0.0005,ND,0.001,0.0001,0.0015,0.0025,0.0004
S3_IBR_135,Stable,0.0013,0.0004,ND,0.0164,0.0005,0.0011,0.0132,0.0032
S3_IBR_136,Stable,ND,0.0005,ND,0.0001,0.0001,0.0821,0.0038,0.0004
S3_IBR_137,Stable,0.0001,0.0064,ND,0.0004,ND,0.0012,0.0001,0.0085
S3_IBR_138,Stable,0.0004,0.0013,ND,0.0006,ND,0.0009,0.0005,0.0012
S4_4BR_139,Stable,0.0127,0.0121,ND,0.0086,ND,0.0173,0.0108,0.0017
S4_4BR_140,Stable,0.0007,0.0005,ND,0.0002,0.0002,ND,ND,0.0002
S4_4BR_141,Stable,0.1181,0.0829,ND,0.0085,0.0324,0.0046,0.0438,0.0019
S4_4BR_142,Stable,0.0001,0.0006,ND,0.0001,ND,0.0001,0.0001,0.0046
S4_4BR_143,Stable,0.0002,0.0001,ND,0.0005,ND,0.0002,0.0006,0.0085
S4_4BR_144,Stable,0.0013,0.0059,ND,0.001,0.0005,0.0054,0.0005,0.0151
S4_4BR_145,Stable,ND,0.0009,ND,ND,0.0034,0.0008,0.0005,0.0019
S4_4BR_146,Stable,0.0004,0.0007,ND,0.0006,0.0005,0.0046,0.0042,0.0169
S4_4BR_147,Stable,0.0001,0.0056,ND,0.0012,ND,0.0026,0.0339,0.0002
S4_4BR_148,Stable,0.0013,0.006,ND,0.0071,0.0015,0.0022,0.0031,0.0051
S4_4BR_149,Stable,0.0004,0.0005,ND,0.0069,0.0004,0.0006,0.0006,0.0007
S4_4BR_150,Stable,0.0001,0.0406,ND,0.0009,0.0005,0.0005,ND,0.0026
S4_4BR_151,Stable,0.0001,0.0793,ND,0.0064,0.0078,0.0108,ND,0.0017
S4_4BR_152,Stable,0.002,0.0054,ND,0.0052,0.0032,0.0072,0.0254,0.007
S4_4BR_153,Stable,ND,0.0003,ND,ND,0.0001,ND,0.0002,0.0015
S4_4BR_154,Stable,0.0004,0.0045,ND,0.001,0.0002,0.0015,0.001,0.02
S4_4BR_155,Stable,0.0037,0.1113,ND,0.005,0.0017,0.0032,0.0001,0.0042
S4_4BR_156,Stable,0.0002,0.0008,ND,0.0003,0.0001,ND,0.0001,0.0035
S4_4BR_157,Stable,0.0001,0.0235,ND,0.0007,0.0011,0.0007,0.001,0.004
S4_4BR_158,Stable,0.0002,0.011,ND,0.0038,0.0001,0.0016,0.0002,0.0042
S4_4BR_159,Stable,0.0024,0.0095,ND,0.0013,0.0013,ND,ND,0.0384
S4_4BR_160,Stable,0.0004,0.0017,ND,0.0027,0.0001,0.0005,0.0006,0.0082
S4_4BR_161,Stable,0.0001,0.1001,ND,0.0069,0.0015,0.0003,0.0006,0.0056
S4_4BR_162,Stable,0.0005,0.0038,ND,0.0062,ND,0.0015,0.0113,0.0119
S4_4BR_163,Stable,ND,0.0028,ND,0.0035,0.0005,0.0008,0.0004,0.0037
S4_4BR_164,Stable,ND,0.004,ND,0.0017,ND,0.0009,0.0043,ND
S4_4BR_165,Stable,0.0002,0.0035,ND,0.0004,0.0021,0.0001,0.0003,0.0017
S4_4BR_166,Stable,ND,0.0006,ND,0.0003,0.0001,ND,0.0002,0.0005
S4_4BR_167,Stable,0.0002,0.0061,ND,0.0005,0.0004,0.0001,0.0003,0.001
S4_4BR_168,Stable,0.0001,0.001,ND,ND,0.0005,0.0009,0.0002,0.0008
S4_4BR_169,Stable,0.1456,0.0127,ND,0.0237,0.0042,0.0128,0.0001,0.0004
S4_4BR_170,Stable,0.0001,0.0005,ND,0.0006,0.0001,0.0002,0.0001,0.0005
S4_4BR_171,Stable,0.0149,0.004,ND,0.0042,0.007,0.0055,0.0114,0.0002
S4_4BR_172,Stable,0.0001,0.0004,ND,0.0001,0.0001,0.0001,0.0005,0.0001
S4_4BR_173,Stable,0.0001,0.0065,ND,0.0003,0.0003,0.0001,0.0004,0.0017
S4_4BR_174,Stable,0.0001,0.002,ND,0.0004,0.0001,0.0002,0.0003,0.0004
S4_4BR_175,Stable,ND,0.0345,ND,0.0028,ND,0.0037,0.0135,0.0006
S4_4BR_176,Stable,0.0001,0.0015,ND,0.0015,0.0005,0.0005,0.0014,0.0008
S4_4BR_177,Stable,0.0007,0.0048,ND,0.0025,0.0005,0.0005,0.0022,0.0008
S4_4BR_178,Stable,0.0002,0.0025,ND,0.0006,0.0013,0.0001,0.0045,0.0008
S4_4BR_179,Stable,0.0052,0.0047,ND,0.0026,0.0006,0.0017,0.006,0.0025
S4_4BR_180,Stable,0.0037,0.0163,ND,0.0045,0.001,0.0035,0.0043,0.0023
S4_4BR_181,Stable,0.0007,0.0167,ND,0.0012,0.0006,0.0004,0.002,0.0015
S4_4BR_182,Stable,ND,0.0082,ND,0.0049,0.0055,0.0261,0.0102,0.0006
S4_4BR_183,Stable,ND,0.0015,ND,0.0006,ND,ND,0.0002,0.0005
S4_4BR_184,Stable,0.0058,0.0115,ND,0.0008,0.0032,0.0007,ND,0.0001
A13_03_20_1,Stable,0.0013,ND,0.002,0.0012,0.0098,0.0465,0.1462,0.2775
B13_03_20_1,Stable,ND,ND,0.0003,0.0002,0.0015,0.0195,0.0227,0.0443
A13_03_20_2,Stable,0.0022,0.0007,0.0028,0.0052,0.0095,0.0465,0.1575,0.2267
B13_03_20_2,Stable,ND,ND,ND,0.0003,0.0017,0.0155,0.0337,0.271
B13_05_15_1,Stable,0.0007,0.001,0.0007,0.0028,0.0053,0.0308,0.0163,0.1657
A13_05_15_2,Stable,0.004,0.0033,0.001,0.0117,0.0025,0.0405,0.1125,0.405
B13_05_15_2,Stable,ND,ND,0.0005,0.0023,0.0047,0.0285,0.0153,0.1327
A13_06_12_1,Stable,0.0033,0.0153,0.001,0.0507,0.0057,0.0253,0.067,0.4583
B13_06_12_1,Stable,0.0048,0.0095,0.0018,0.043,0.0055,0.0247,0.066,0.4753
A13_06_12_2,Stable,0.0032,0.0087,0.0007,0.0523,0.0045,0.0413,0.0357,0.5587
B13_06_12_2,Stable,0.0005,0.0038,0.0008,0.0273,0.0048,0.056,0.0185,0.3305
A14_03_05_1,Stable,ND,ND,0.0025,0.0582,0.0083,0.0162,0.0072,0.6093
B14_03_05_1,Stable,ND,ND,0.0013,0.0377,0.0098,0.025,0.019,0.5055
A14_03_05_2,Stable,ND,ND,0.0032,0.0853,0.0132,0.026,0.0143,0.4133
B14_03_05_2,Stable,ND,0.0002,0.002,0.0625,0.0117,0.0205,0.0132,0.6768
A14_04_15_1,Stable,0.0002,0.0005,0.0002,0.0227,0.0048,0.0155,0.0117,0.7442
B14_04_15_1,Stable,0.001,0.0003,0.0002,0.0035,0.0058,0.0192,0.0113,0.7723
A14_07_30_1,Stable,0.0027,0.0143,ND,0.0278,0.0035,0.0165,0.0222,0.6703
B14_07_30_1,Stable,0.0025,0.005,ND,0.0107,0.002,0.0522,0.024,0.6175
A14_07_30_2,Stable,0.0032,0.0035,ND,0.0247,0.0032,0.0225,0.0115,0.72
B14_07_30_2,Stable,0.0027,0.0047,ND,0.011,0.0022,0.0478,0.0123,0.6985
A14_09_17_1,Stable,0.0023,0.0038,0.0003,0.0042,0.0033,0.0308,0.0278,0.607
B14_09_17_1,Stable,0.0008,0.0013,0.0002,0.001,0.0018,0.0478,0.0038,0.6528
B14_09_17_2,Stable,0.0013,0.0017,ND,0.0018,0.001,0.0307,0.007,0.6715
A13_08_07_1,Failure,0.0047,0.019,0.1658,0.1288,0.014,0.0102,0.0185,0.19
B13_08_07_1,Failure,0.0057,0.0377,0.1972,0.108,0.0072,0.0045,0.0078,0.1732
A13_08_07_2,Failure,0.0058,0.0167,0.1348,0.1202,0.0105,0.0132,0.0207,0.1375
B13_08_07_2,Failure,0.0062,0.0147,0.1787,0.156,0.0107,0.0095,0.0052,0.1745
A13_09_04_1,Failure,0.0135,0.039,0.2393,0.1267,0.229,0.0007,0.0033,0.1165
B13_09_04_1,Failure,0.0152,0.0123,0.2155,0.1392,0.3203,0.0053,0.0012,0.0848
A13_09_04_2,Failure,0.0192,0.0277,0.1878,0.1412,0.2942,0.0013,0.0018,0.1157
B13_09_04_2,Failure,0.0182,0.0137,0.25,0.1383,0.2813,0.0017,0.001,0.0895
A13_10_23_1,Failure,0.061,0.0548,0.0098,0.169,0.1282,0.0012,0.0055,0.1638
B13_10_23_1,Failure,0.0463,0.0387,0.0132,0.2122,0.1742,0.0035,0.0017,0.1297
A13_10_23_2,Failure,0.0405,0.0485,0.0163,0.1942,0.1257,0.0007,0.0008,0.1353
B13_10_23_2,Failure,0.0465,0.0292,0.021,0.2323,0.134,0.0027,0.0017,0.1372
A13_11_14_1,Failure,0.018,0.097,0.0313,0.098,0.4637,0.0007,0.0003,0.018
B13_11_14_1,Failure,0.0185,0.1113,0.0227,0.0837,0.475,0.0008,0.0002,0.0157
A13_11_14_2,Failure,0.0177,0.1148,0.013,0.0787,0.5017,ND,0.0005,0.0128
B13_11_14_2,Failure,0.0157,0.1163,0.0297,0.099,0.3778,0.0008,0.0003,0.0187
